address,labels,cls
DATA/audio_X1623314141655768512,[0.63954752 0.49395038],1
DATA/audio_X1623314141847702208,[0.6361356  0.47995551],1
DATA/audio_X1623314142040382880,[0.64694879 0.49454405],1
DATA/audio_X1623314142423552128,[0.626337   0.49557438],1
DATA/audio_X1623314142614956192,[0.64792082 0.48056775],1
DATA/audio_X1623314142806434112,[0.64011395 0.48138282],1
DATA/audio_X1623314142999833280,[0.63752952 0.50498428],1
DATA/audio_X1623314143191022944,[0.64293175 0.49677095],1
DATA/audio_X1623314143575413056,[0.64552658 0.49097091],1
DATA/audio_X1623314143768292928,[0.63952069 0.48317584],1
DATA/audio_X1623314143959787936,[0.64632875 0.48716414],1
DATA/audio_X1623314144343580064,[0.62912141 0.48558388],1
DATA/audio_X1623314144534333408,[0.63552453 0.50459154],1
DATA/audio_X1623314144726709024,[0.64672214 0.492177  ],1
DATA/audio_X1623314144919091968,[0.65912391 0.48976438],1
DATA/audio_X1623314145111380736,[0.65617139 0.49543123],1
DATA/audio_X1623314145304889280,[0.63252579 0.48650871],1
DATA/audio_X1623314145498562880,[0.63625783 0.49071395],1
DATA/audio_X1623314145686449408,[0.63522874 0.49287143],1
DATA/audio_X1623314145916756320,[0.6157551  0.48875083],1
DATA/audio_X1623314146071513888,[0.62451938 0.51210208],1
DATA/audio_X1623314146262454368,[0.63072164 0.44477177],1
DATA/audio_X1623314146649070848,[0.64992135 0.38378963],1
DATA/audio_X1623314146840015520,[0.6499949  0.37925984],1
DATA/audio_X1623314147033935264,[0.63901776 0.32329283],1
DATA/audio_X1623314147225716416,[0.62767087 0.36645359],1
DATA/audio_X1623314147417185536,[0.61748721 0.3607364 ],1
DATA/audio_X1623314147606337536,[0.5774923  0.35751354],1
DATA/audio_X1623314147799690432,[0.56525358 0.36101567],1
DATA/audio_X1623314147990637088,[0.53990379 0.35369181],1
DATA/audio_X1623314148374527040,[0.47250018 0.31936902],1
DATA/audio_X1623314148567591200,[0.43084969 0.35210239],1
DATA/audio_X1623314148760069696,[0.42257057 0.35240579],1
DATA/audio_X1623314148952483040,[0.37721256 0.3433781 ],1
DATA/audio_X1623314149144728032,[0.35418798 0.33533008],1
DATA/audio_X1623314149335177088,[0.33873401 0.32387515],1
DATA/audio_X1623314149526532960,[0.31926082 0.33209988],1
DATA/audio_X1623314149719210464,[0.28900836 0.34047639],1
DATA/audio_X1623314149912675584,[0.25954287 0.35662527],1
DATA/audio_X1623314150101963360,[0.21555982 0.33572478],1
DATA/audio_X1623314150294485664,[0.2161225  0.34741323],1
DATA/audio_X1623314150486849440,[0.19253881 0.34052297],1
DATA/audio_X1623314150684128896,[0.20452117 0.34486926],1
DATA/audio_X1623314150871013344,[0.17022892 0.34155626],1
DATA/audio_X1623314151064690656,[0.16576109 0.33455084],1
